Sl No,Vehicle List,ZAP POINT,Status
1,XEM123L01070,OD 02,Available
2,XEM123L01051,OD 02,Available
3,XEM123L01085,OD 02,Available
4,XEM123L01072,OD 02,Available
5,XEM123L01092,OD 02,Available
6,XEM123L01095,OD 02,Available
7,XEM123L01138,OD 02,Available
8,XEM123L01030,OD 02,Available
9,XEM123L01082,OD 02,Available
10,XEM123L01098,OD 02,Available
11,XEM123L01134,OD 02,Available
12,XEM123L01160,OD 02,Available
13,XEM123L01062,OD 02,Available
14,XEM123L01091,OD 02,Available
15,XEM123L01077,OD 02,Available
16,XEM123L01067,OD 02,Available
17,XEM123L01065,OD 02,Available
18,XEM123L01071,OD 02,Available
19,XEM123L01096,OD 02,Available
20,XEM123L01069,OD 02,Available
21,XEM123L01054,OD 02,Available
22,XEM123L01053,OD 02,Available
23,XEM123L01057,OD 02,Available
24,XEM123L01063,OD 02,Available
25,XEM123L01081,OD 02,Available
26,XEM123L01159,OD 02,Available
27,XEM123L01097,OD 02,Available
28,XEM123L01064,OD 02,Available
29,XEM123L01019,OD 02,Available
30,XEM123L01061,OD 02,Available
31,XEM123L01162,OD 02,Available
32,XEM123L01136,OD 02,Available
33,XEM123L01166,OD 02,Available
34,XEM123L01158,OD 02,Available
35,XEM123L01086,OD 02,Available
36,XEM123L01140,OD 02,Available
37,XEM123L01045,OD 02,Available
38,XEM123L01068,OD 02,Available
39,XEM123L01048,OD 02,Available
40,XEM123L01139,OD 02,Available
