S No,Chasis No,Make,Model,Zap Point,Battery Type,Status
1,XEM123L722,Xero,Mink,OD03,F,Available
2,XEM123L729,Xero,Mink,OD03,F,Available
3,XEM123L711,Xero,Mink,OD04,EB,Available
4,XEM123L0802,Xero,Mink,OD04,EB,Available
5,XEM123L0828,Xero,Mink,OD03,F,Available
6,XEM123L716,Xero,Mink,OD03,F,Available
7,XEM123L0789,Xero,Mink,OD03,F,Available
8,XEM123L0791,Xero,Mink,OD03,EB,Maintenance
9,XEM123L713,Xero,Mink,OD03,F,Available
10,XEM123L0731,Xero,Mink,OD03,F,Available
11,XEM123L0810,Xero,Mink,OD02,EB,Available
12,XEM123L733,Xero,Mink,OD04,EB,Available
13,XEM123L740,Xero,Mink,OD03,F,Available
14,XEM123L725,Xero,Mink,OD03,F,Available
15,XEM123L0797,Xero,Mink,OD03,F,Available
16,XEM123L0819,Xero,Mink,OD02,EB,Maintenance
17,XEM123L741,Xero,Mink,OD04,EB,Available
18,XEM123L0808,Xero,Mink,OD03,F,Available
19,XEM123L0812,Xero,Mink,OD03,F,Available
20,XEM123L0818,Xero,Mink,OD04,EB,Available
21,XEM123L0820,Xero,Mink,OD02,EB,Maintenance
22,XEM123L0785,Xero,Mink,OD03,F,Available
23,XEM123L0822,Xero,Mink,OD03,F,Available
24,XEM123L739,Xero,Mink,OD03,F,Dead
25,XEM123L0826,Xero,Mink,OD04,EB,Available
26,XEM123L730,Xero,Mink,OD04,EB,Available
27,XEM123L735,Xero,Mink,OD02,EB,Maintenance
28,XEM123L0800,Xero,Mink,OD04,EB,Available
29,XEM123L701,Xero,Mink,OD03,F,Available
30,XEM123L709,Xero,Mink,OD04,EB,Available
31,XEM123L718,Xero,Mink,OD02,EDD,Maintenance
32,XEM123L704,Xero,Mink,OD04,EB,Maintenance
33,XEM123L712,Xero,Mink,OD04,EDD,Maintenance
34,XEM123L0811,Xero,Mink,OD02,EB,Maintenance
35,XEM123L708,Xero,Mink,OD03,F,Available
36,XEM123L0807,Xero,Mink,OD04,EB,Maintenance
37,XEM123L721,Xero,Mink,OD02,EDD,Maintenance
38,XEM123L737,Xero,Mink,OD03,F,Available
39,XEM123L743,Xero,Mink,OD03,F,Available
40,XEM123L715,Xero,Mink,OD04,EB,Available
41,XEM123L742,Xero,Mink,OD02,EDD,Maintenance
42,XEM123L0806,Xero,Mink,OD02,EB,Available
43,XEM123L0815,Xero,Mink,OD03,F,Available
44,XEM123L0830,Xero,Mink,OD03,F,Available
45,XEM123L734,Xero,Mink,OD03,F,Available
46,XEM123L0798,Xero,Mink,OD02,EB,Maintenance
47,XEM123L0775,Xero,Mink,OD03,F,Available
48,XEM123L705,Xero,Mink,OD02,EB,Maintenance
49,XEM123L720,Xero,Mink,OD04,EB,Available
50,XEM123L0825,Xero,Mink,OD03,F,Available
51,XEM123L706,Xero,Mink,OD03,F,Available
52,XEM123L0805,Xero,Mink,OD03,F,Available
53,XEM123L724,Xero,Mink,OD04,EB,Available
54,XEM123L0804,Xero,Mink,OD04,EB,Available
55,XEM123L0817,Xero,Mink,OD04,EB,Available
56,XEM123L0793,Xero,Mink,OD03,F,Available
57,XEM123L736,Xero,Mink,OD04,EB,Available
58,XEM123L0809,Xero,Mink,JH01,EDD,Available
59,XEM123L0799,Xero,Mink,JH01,EDD,Available
60,XEM123L719,Xero,Mink,JH01,EDD,Available
61,XEM123L0829,Xero,Mink,JH01,EDD,Available
62,XEM123L0779,Xero,Mink,JH01,EDD,Available
63,XEM123L0823,Xero,Mink,JH01,EDD,Available
64,XEM123L0782,Xero,Mink,JH01,EDD,Available
65,XEM123L0776,Xero,Mink,JH01,EDD,Maintenance
66,XEM123L0803,Xero,Mink,JH01,EDD,Available
67,XEM123L0827,Xero,Mink,JH01,EDD,Maintenance
68,XEM123L0772,Xero,Mink,JH01,EDD,Available
69,XEM123L0821,Xero,Mink,JH01,EDD,Available
70,XEM123L710,Xero,Mink,JH01,EDD,Available
71,XEM123L0814,Xero,Mink,JH01,EDD,Available
72,XEM123L703,Xero,Mink,JH01,EDD,Available
73,XEM123L714,Xero,Mink,JH01,EDD,Available
74,XEM123L717,Xero,Mink,JH01,EDD,Available
75,XEM123L728,Xero,Mink,JH01,EDD,Maitenance
76,XEM123L727,Xero,Mink,JH01,EDD,Available
77,XEM123L732,Xero,Mink,JH01,EDD,Available
78,XEM123L738,Xero,Mink,OD04,EB,Available
79,XEM123L731,Xero,Mink,OD02,EB,Available
80,XEM123L723,Xero,Mink,OD02,EB,Available
